timestamp,index,name,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw,temperature.gpu
2026/06/18 21:39:18.897, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 70.97, 56
2026/06/18 21:39:18.899, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 10.49, 52
2026/06/18 21:39:18.902, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.66, 54
2026/06/18 21:39:18.904, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.64, 58
2026/06/18 21:39:19.909, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 71.07, 56
2026/06/18 21:39:19.911, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 10.40, 52
2026/06/18 21:39:19.914, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.56, 54
2026/06/18 21:39:19.916, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.74, 58
2026/06/18 21:39:20.918, 0, NVIDIA GeForce GTX 1080 Ti, 2, 0, 5, 11264, 71.26, 56
2026/06/18 21:39:20.920, 1, NVIDIA GeForce GTX 1080 Ti, 3, 0, 9, 11264, 59.71, 52
2026/06/18 21:39:20.923, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 66.56, 53
2026/06/18 21:39:20.925, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 66.64, 58
2026/06/18 21:39:21.928, 0, NVIDIA GeForce GTX 1080 Ti, 3, 0, 5, 11264, 71.26, 55
2026/06/18 21:39:21.930, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 23, 11264, 59.36, 52
2026/06/18 21:39:21.932, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 66.85, 53
2026/06/18 21:39:21.935, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 5, 11264, 66.83, 58
2026/06/18 21:39:22.937, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 143, 11264, 58.49, 55
2026/06/18 21:39:22.944, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.75, 53
2026/06/18 21:39:22.946, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.59, 53
2026/06/18 21:39:22.948, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 66.65, 57
2026/06/18 21:39:23.951, 0, NVIDIA GeForce GTX 1080 Ti, 0, 0, 13, 11264, 58.98, 55
2026/06/18 21:39:23.969, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 57.14, 52
2026/06/18 21:39:23.971, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 62.65, 53
2026/06/18 21:39:23.974, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.45, 57
2026/06/18 21:39:24.977, 0, NVIDIA GeForce GTX 1080 Ti, 2, 0, 5, 11264, 58.88, 55
2026/06/18 21:39:24.979, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 56.95, 52
2026/06/18 21:39:24.981, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.65, 53
2026/06/18 21:39:24.984, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.35, 57
2026/06/18 21:39:25.986, 0, NVIDIA GeForce GTX 1080 Ti, 2, 0, 4787, 11264, 57.24, 55
2026/06/18 21:39:25.988, 1, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 56.95, 52
2026/06/18 21:39:25.990, 2, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.58, 52
2026/06/18 21:39:25.992, 3, NVIDIA GeForce GTX 1080 Ti, 0, 0, 3, 11264, 59.45, 57
